via,group-title,tvg_id,tvg_logo,name,url
luongz.jp,CS,homedrama_channel,https://www.lyngsat.com/logo/tv/hh/home-drama-channelpng-jp.png,Home Drama Channel,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs05
luongz.jp,CS,tabi_ch,https://www.lyngsat.com/logo/tv/tt/tabi_channel.png,Tabi Channel,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs12
luongz.jp,CS,fujitv_next,https://www.lyngsat.com/logo/tv/ff/fuji_tv_next.png,Fuji TV Next,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs26
luongz.jp,CS,sky_a,https://www.lyngsat-logo.com/logo/tv/ss/sky-a-jp.png,Sky A  ,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs01
luongz.jp,CS,gaora,https://www.lyngsat-logo.com/logo/tv/gg/gaora-sportspng-jp.png,GAORA SPORTS  ,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs17
luongz.jp,CS,golf_network,https://www.lyngsat.com/logo/tv/gg/golf-network-jp.png,Golf Network,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs03
luongz.jp,CS,gtasu,https://www.lyngsat-logo.com/logo/tv/nn/ntv-g-plus-jp.png,Nittele G+,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs02
luongz.jp,CS,mondo_tv,https://www.lyngsat.com/logo/tv/mm/mondo_tv_jp.png,Mondo TV,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs21
luongz.jp,CS,ginga_channel,https://www.lyngsat.com/logo/tv/cc/channel_ginga.png,Channel Ginga,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs29
luongz.jp,CS,space_shower,https://www.lyngsat.com/logo/tv/ss/space_shower_tv.png,Space Shower TV,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs26
luongz.jp,CS,MusicJapanTV.jp,https://www.lyngsat.com/logo/tv/mm/music_japan_tv.png,Music Japan TV,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs06
luongz.jp,CS,kayo_pops,https://www.lyngsat.com/logo/tv/kk/kayo-pops-jp.png,Kayo Pops,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs13
luongz.jp,CS,mtv,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/MTV_2021_%28brand_version%29.svg/240px-MTV_2021_%28brand_version%29.svg.png,MTV (2),http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs18
luongz.jp,CS,lala_tv,https://www.lyngsat.com/logo/tv/ll/lala_tv.png,LaLa TV,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs19
luongz.jp,CS,sky_stage,https://tvguide.myjcom.jp/monomedia/ch_logo/jcom/logo-65406-154-400x400.png,Takarazuka Sky Stage,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs28
luongz.jp,CS,kids_station,https://www.lyngsat-logo.com/logo/tv/kk/kidsstation.png,Kids Station TV,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs07
luongz.jp,CS,cartoon_network,https://upload.wikimedia.org/wikipedia/commons/f/fe/CARTOON_NETWORK_logo.png,Cartoon Network ,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs25
luongz.jp,CS,disney_junior,https://www.lyngsat-logo.com/logo/tv/dd/disney_junior_us.png,Disney Junior,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs23
luongz.jp,CS,discovery,https://www.lyngsat-logo.com/logo/tv/dd/discovery-channel-east-us.png,Discovery Channel  ,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs08
luongz.jp,CS,nat_geo,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/National_Geographic_Channel.svg/320px-National_Geographic_Channel.svg.png,National Geographic,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs10
luongz.jp,CS,history,https://www.lyngsat-logo.com/logo/tv/hh/history_us.png,History Channel,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs09
luongz.jp,CS,cnnj,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/CNNj_channel_logo.svg/2048px-CNNj_channel_logo.svg.png,CNNj,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs16
luongz.jp,CS,qvc,https://i.imgur.com/xWSzQ34.png,QVC,https://cdn-live1.qvc.jp/iPhone/1501/1501.m3u8
luongz.jp,Test/Terrestrial,nhkg_tokyo,https://upload.wikimedia.org/wikipedia/commons/6/6f/NHK%E7%B7%8F%E5%90%88%E3%83%AD%E3%82%B42020-.png,NHK G (h264/720/aac/test),http://r3jx.djtmewibu.com/nhkg/index.m3u8
luongz.jp,Test/Terrestrial,tvk,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Tvk_logo.svg/250px-Tvk_logo.svg.png,tvk (h264/720/aac/test),http://r3jx.djtmewibu.com/tvk/index.m3u8
luongz.jp,Test/Terrestrial,teletama,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Tvs_logo.svg/1920px-Tvs_logo.svg.png,Teletama (h264/720/aac/test),http://r3jx.djtmewibu.com/tvs/index.m3u8
luongz.jp,Test/Terrestrial,tokyo_mx,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Tokyo_metropolitan_television_logo_%28rainbow%29.svg/2560px-Tokyo_metropolitan_television_logo_%28rainbow%29.svg.png,TOKYO MX1 (h264/720/aac/test),http://r3jx.djtmewibu.com/mx1/index.m3u8
luongz.jp,Test/Terrestrial,TokyoMX2.jp,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Tokyo_metropolitan_television_logo_%28rainbow%29.svg/2560px-Tokyo_metropolitan_television_logo_%28rainbow%29.svg.png,TOKYO MX2 (h264/540/aac/test),http://r3jx.djtmewibu.com/mx2/index.m3u8
luongz.jp,Test/Terrestrial,tss,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Tss_logo.svg/1920px-Tss_logo.svg.png,tss (h264/1080/aac/test),http://r3jx.djtmewibu.com/tss/index.m3u8
luongz.jp,Test/BS,bs11,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/BS11_logo.svg/2560px-BS11_logo.svg.pngion_logo_%28rainbow%29.svg.png,BS11 (h264/720/aac/test),http://r3jx.djtmewibu.com/bs11/index.m3u8
luongz.jp,Test/CS,at-x,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/AT-X_logo.svg/2560px-AT-X_logo.svg.png,AT-X (h264/720/aac/test),http://r3jx.djtmewibu.com/at-x/index.m3u8
